,Season,Week,Team,Defense
0,2020.0,16,BUF,NE
1,2020.0,16,TB,DET
2,2020.0,16,HOU,CIN
3,2020.0,16,DAL,PHI
4,2020.0,16,PIT,IND
5,2020.0,16,GB,TEN
6,2020.0,16,MIN,NO
7,2020.0,16,CHI,JAX
8,2020.0,16,LV,MIA
9,2020.0,16,CIN,HOU
10,2020.0,16,BAL,NYG
11,2020.0,16,ATL,KC
12,2020.0,16,SEA,LAR
13,2020.0,16,KC,ATL
14,2020.0,16,SF,ARI
15,2020.0,16,PHI,DAL
16,2020.0,16,NYJ,CLE
17,2020.0,16,LAC,DEN
18,2020.0,16,TEN,GB
19,2020.0,16,ARI,SF
20,2020.0,16,NYG,BAL
21,2020.0,16,DEN,LAC
22,2020.0,16,JAX,CHI
23,2020.0,16,WAS,CAR
24,2020.0,16,MIA,LV
25,2020.0,16,IND,PIT
26,2020.0,16,NO,MIN
27,2020.0,16,NE,BUF
28,2020.0,16,LAR,SEA
29,2020.0,16,CAR,WAS
30,2020.0,16,CLE,NYJ
31,2020.0,16,DET,TB
32,2020.0,15,PHI,ARI
33,2020.0,15,BUF,DEN
34,2020.0,15,TEN,DET
35,2020.0,15,ARI,PHI
36,2020.0,15,BAL,JAX
37,2020.0,15,LAC,LV
38,2020.0,15,ATL,TB
39,2020.0,15,KC,NO
40,2020.0,15,LV,LAC
41,2020.0,15,HOU,IND
42,2020.0,15,TB,ATL
43,2020.0,15,CLE,NYG
44,2020.0,15,NO,KC
45,2020.0,15,MIN,CHI
46,2020.0,15,MIA,NE
47,2020.0,15,GB,CAR
48,2020.0,15,CIN,PIT
49,2020.0,15,DAL,SF
50,2020.0,15,IND,HOU
51,2020.0,15,CAR,GB
52,2020.0,15,JAX,BAL
53,2020.0,15,DET,TEN
54,2020.0,15,LAR,NYJ
55,2020.0,15,WAS,SEA
56,2020.0,15,NYJ,LAR
57,2020.0,15,CHI,MIN
58,2020.0,15,NE,MIA
59,2020.0,15,SEA,WAS
60,2020.0,15,SF,DAL
61,2020.0,15,DEN,BUF
62,2020.0,15,NYG,CLE
63,2020.0,15,PIT,CIN
64,2020.0,14,BAL,CLE
65,2020.0,14,GB,DET
66,2020.0,14,CLE,BAL
67,2020.0,14,MIA,KC
68,2020.0,14,DEN,CAR
69,2020.0,14,CHI,HOU
70,2020.0,14,LV,IND
71,2020.0,14,SEA,NYJ
72,2020.0,14,CAR,DEN
73,2020.0,14,PHI,NO
74,2020.0,14,NO,PHI
75,2020.0,14,KC,MIA
76,2020.0,14,ARI,NYG
77,2020.0,14,BUF,PIT
78,2020.0,14,IND,LV
79,2020.0,14,MIN,TB
80,2020.0,14,HOU,CHI
81,2020.0,14,TEN,JAX
82,2020.0,14,LAC,ATL
83,2020.0,14,TB,MIN
84,2020.0,14,DAL,CIN
85,2020.0,14,LAR,NE
86,2020.0,14,DET,GB
87,2020.0,14,CIN,DAL
88,2020.0,14,PIT,BUF
89,2020.0,14,JAX,TEN
90,2020.0,14,SF,WAS
91,2020.0,14,ATL,LAC
92,2020.0,14,NYJ,SEA
93,2020.0,14,NE,LAR
94,2020.0,14,NYG,ARI
95,2020.0,14,WAS,SF
96,2020.0,13,LV,NYJ
97,2020.0,13,BUF,SF
98,2020.0,13,CLE,TEN
99,2020.0,13,TEN,CLE
100,2020.0,13,DET,CHI
101,2020.0,13,BAL,DAL
102,2020.0,13,LAR,ARI
103,2020.0,13,NO,ATL
104,2020.0,13,NE,LAC
105,2020.0,13,GB,PHI
106,2020.0,13,MIN,JAX
107,2020.0,13,SF,BUF
108,2020.0,13,NYJ,LV
109,2020.0,13,HOU,IND
110,2020.0,13,KC,DEN
111,2020.0,13,IND,HOU
112,2020.0,13,PIT,WAS
113,2020.0,13,DAL,BAL
114,2020.0,13,ARI,LAR
115,2020.0,13,MIA,CIN
116,2020.0,13,WAS,PIT
117,2020.0,13,SEA,NYG
118,2020.0,13,CHI,DET
119,2020.0,13,ATL,NO
120,2020.0,13,JAX,MIN
121,2020.0,13,DEN,KC
122,2020.0,13,PHI,GB
123,2020.0,13,CIN,MIA
124,2020.0,13,NYG,SEA
125,2020.0,13,LAC,NE
126,2020.0,12,HOU,DET
127,2020.0,12,KC,TB
128,2020.0,12,MIN,CAR
129,2020.0,12,GB,CHI
130,2020.0,12,TB,KC
131,2020.0,12,MIA,NYJ
132,2020.0,12,TEN,IND
133,2020.0,12,PHI,SEA
134,2020.0,12,CHI,GB
135,2020.0,12,CLE,JAX
136,2020.0,12,JAX,CLE
137,2020.0,12,IND,TEN
138,2020.0,12,NO,DEN
139,2020.0,12,LAC,BUF
140,2020.0,12,DET,HOU
141,2020.0,12,BUF,LAC
142,2020.0,12,SEA,PHI
143,2020.0,12,ATL,LV
144,2020.0,12,CAR,MIN
145,2020.0,12,PIT,BAL
146,2020.0,12,DAL,WAS
147,2020.0,12,NYG,CIN
148,2020.0,12,BAL,PIT
149,2020.0,12,SF,LAR
150,2020.0,12,WAS,DAL
151,2020.0,12,ARI,NE
152,2020.0,12,CIN,NYG
153,2020.0,12,NYJ,MIA
154,2020.0,12,NE,ARI
155,2020.0,12,LAR,SF
156,2020.0,12,LV,ATL
157,2020.0,12,DEN,NO
158,2020.0,11,HOU,NE
159,2020.0,11,LAC,NYJ
160,2020.0,11,NO,ATL
161,2020.0,11,LAR,TB
162,2020.0,11,MIN,DAL
163,2020.0,11,TEN,BAL
164,2020.0,11,GB,IND
165,2020.0,11,LV,KC
166,2020.0,11,KC,LV
