,Season,Week,Team,Defense,,
0,2020,17,LAR,ARI,,
1,2020,17,TB,ATL,,
2,2020,17,CIN,BAL,,
3,2020,17,MIA,BUF,,
4,2020,17,NO,CAR,,
5,2020,17,GB,CHI,,
6,2020,17,BAL,CIN,,
7,2020,17,PIT,CLE,,
8,2020,17,NYG,DAL,,
9,2020,17,LV,DEN,,
10,2020,17,MIN,DET,,
11,2020,17,CHI,GB,,
12,2020,17,TEN,HOU,,
13,2020,17,JAX,IND,,
14,2020,17,IND,JAX,,
15,2020,17,LAC,KC,,
16,2020,17,KC,LAC,,
17,2020,17,ARI,LAR,,
18,2020,17,DEN,LV,,
19,2020,17,BUF,MIA,,
20,2020,17,DET,MIN,,
21,2020,17,NYJ,NE,,
22,2020,17,CAR,NO,,
23,2020,17,DAL,NYG,,
24,2020,17,NE,NYJ,,
25,2020,17,WAS,PHI,,
26,2020,17,CLE,PIT,,
27,2020,17,SF,SEA,,
28,2020,17,SEA,SF,,
29,2020,17,ATL,TB,,
30,2020,17,HOU,TEN,,
31,2020,17,PHI,WAS,,
32,2020,16,BUF,NE,,
33,2020,16,TB,DET,,
34,2020,16,HOU,CIN,,
35,2020,16,DAL,PHI,,
36,2020,16,PIT,IND,,
37,2020,16,GB,TEN,,
38,2020,16,MIN,NO,,
39,2020,16,CHI,JAX,,
40,2020,16,LV,MIA,,
41,2020,16,CIN,HOU,,
42,2020,16,BAL,NYG,,
43,2020,16,ATL,KC,,
44,2020,16,SEA,LAR,,
45,2020,16,KC,ATL,,
46,2020,16,SF,ARI,,
47,2020,16,PHI,DAL,,
48,2020,16,NYJ,CLE,,
49,2020,16,LAC,DEN,,
50,2020,16,TEN,GB,,
51,2020,16,ARI,SF,,
52,2020,16,NYG,BAL,,
53,2020,16,DEN,LAC,,
54,2020,16,JAX,CHI,,
55,2020,16,WAS,CAR,,
56,2020,16,MIA,LV,,
57,2020,16,IND,PIT,,
58,2020,16,NO,MIN,,
59,2020,16,NE,BUF,,
