Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Rank,Defense,MaxLineups,MinLineups
DST,Ravens  (16006812),Ravens ,16006812,DST,4000,NYG@BAL 12/27/2020 01:00PM ET,BAL,8.57,7,NYG,10,0
DST,Browns  (16006813),Browns ,16006813,DST,3700,CLE@NYJ 12/27/2020 01:00PM ET,CLE,6.14,8,NYJ,10,0
DST,Bears  (16006814),Bears ,16006814,DST,3600,CHI@JAX 12/27/2020 01:00PM ET,CHI,6.21,2,JAX,10,0
DST,Colts  (16006818),Colts ,16006818,DST,3200,IND@PIT 12/27/2020 01:00PM ET,IND,9.71,1,PIT,10,0
DST,Rams  (16006819),Rams ,16006819,DST,3100,LAR@SEA 12/27/2020 04:25PM ET,LAR,8.93,9,SEA,10,0
DST,WAS Football Team  (16006820),WAS Football Team ,16006820,DST,3000,CAR@WAS 12/27/2020 04:05PM ET,WAS,7.71,5,CAR,10,0
DST,Eagles  (16006821),Eagles ,16006821,DST,2900,PHI@DAL 12/27/2020 04:25PM ET,PHI,6.79,3,DAL,10,0
DST,Texans  (16006822),Texans ,16006822,DST,2800,CIN@HOU 12/27/2020 01:00PM ET,HOU,3.71,6,CIN,10,0
DST,Panthers  (16006823),Panthers ,16006823,DST,2700,CAR@WAS 12/27/2020 04:05PM ET,CAR,5.5,4,WAS,10,0
DST,Seahawks  (16006824),Seahawks ,16006824,DST,2600,LAR@SEA 12/27/2020 04:25PM ET,SEA,6.5,13,LAR,10,0
DST,Giants  (16006825),Giants ,16006825,DST,2500,NYG@BAL 12/27/2020 01:00PM ET,NYG,6.57,11,BAL,10,0
DST,Broncos  (16006827),Broncos ,16006827,DST,2300,DEN@LAC 12/27/2020 04:05PM ET,DEN,4.64,12,LAC,10,0
DST,Jets  (16006830),Jets ,16006830,DST,2000,CLE@NYJ 12/27/2020 01:00PM ET,NYJ,4,10,CLE,10,0
QB,Patrick Mahomes (16006097),Patrick Mahomes,16006097,QB,8500,ATL@KC 12/27/2020 01:00PM ET,KC,24.05229167,2,ATL,10,5
QB,Matt Ryan (16006106),Matt Ryan,16006106,QB,5800,ATL@KC 12/27/2020 01:00PM ET,ATL,22.77145833,4,KC,5,0
QB,Lamar Jackson (16006098),Lamar Jackson,16006098,QB,8000,NYG@BAL 12/27/2020 01:00PM ET,BAL,20.77270833,7,NYG,10,0
QB,Jalen Hurts (16006102),Jalen Hurts,16006102,QB,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,20.185,8,DAL,10,0
QB,Deshaun Watson (16006099),Deshaun Watson,16006099,QB,7600,CIN@HOU 12/27/2020 01:00PM ET,HOU,19.51395833,9,CIN,10,0
RB,Austin Ekeler (16006162),Austin Ekeler,16006162,RB/FLEX,7600,DEN@LAC 12/27/2020 04:05PM ET,LAC,22.37708333,1,DEN,10,5
RB,David Montgomery (16006160),David Montgomery,16006160,RB/FLEX,7700,CHI@JAX 12/27/2020 01:00PM ET,CHI,17.84375,5,JAX,10,0
RB,Christian McCaffrey (16006156),Christian McCaffrey,16006156,RB/FLEX,9200,CAR@WAS 12/27/2020 04:05PM ET,CAR,17.26041667,6,WAS,10,0
RB,James Robinson (16006168),James Robinson,16006168,RB/FLEX,6800,CHI@JAX 12/27/2020 01:00PM ET,JAX,16.34375,7,CHI,10,0
RB,Nick Chubb (16006158),Nick Chubb,16006158,RB/FLEX,7800,CLE@NYJ 12/27/2020 01:00PM ET,CLE,14.89166667,11,NYJ,10,5
RB,Jonathan Taylor (16006164),Jonathan Taylor,16006164,RB/FLEX,7300,IND@PIT 12/27/2020 01:00PM ET,IND,14.29791667,12,PIT,10,0
RB,Chris Carson (16006178),Chris Carson,16006178,RB/FLEX,6400,LAR@SEA 12/27/2020 04:25PM ET,SEA,14.07916667,13,LAR,10,0
RB,Miles Sanders (16006166),Miles Sanders,16006166,RB/FLEX,7000,PHI@DAL 12/27/2020 04:25PM ET,PHI,13.74583333,14,DAL,10,0
RB,Giovani Bernard (16006212),Giovani Bernard,16006212,RB/FLEX,4800,CIN@HOU 12/27/2020 01:00PM ET,CIN,12.42291667,17,HOU,7,0
RB,Melvin Gordon III (16006198),Melvin Gordon III,16006198,RB/FLEX,5600,DEN@LAC 12/27/2020 04:05PM ET,DEN,12.19583333,21,LAC,10,0
TE,Mark Andrews (16006638),Mark Andrews,16006638,TE/FLEX,5700,NYG@BAL 12/27/2020 01:00PM ET,BAL,13.84527778,2,NYG,10,5
